,n_neighbors,weights,leaf_size,RMSE,Std. Dev.,R-Squared
0,5,distance,10,10391.274320899722,28029.34917759681,0.8625604918629024
1,5,distance,10,10391.274320899722,28029.34917759681,0.8625604918629024
2,5,distance,10,10391.274320899722,28029.34917759681,0.8625604918629024
3,5,distance,10,10391.274320899722,28029.34917759681,0.8625604918629024
4,5,distance,10,10391.274320899722,28029.34917759681,0.8625604918629024
5,5,distance,10,10391.274320899722,28029.34917759681,0.8625604918629024
6,5,distance,10,10391.274320899722,28029.34917759681,0.8625604918629024
7,5,distance,10,10391.274320899722,28029.34917759681,0.8625604918629024
8,5,distance,10,10391.274320899722,28029.34917759681,0.8625604918629024
9,5,distance,10,10391.274320899722,28029.34917759681,0.8625604918629024
