model,score,num_boost_round,epochs,batch_size,lr
MLP Regressor,7873.443362124254,,370.0,256.0,0.001
MLP Regressor,7841.994965375144,,460.0,256.0,0.001
MLP Regressor,7956.176495976992,,460.0,128.0,0.001
MLP Regressor,7744.895014818137,,460.0,32.0,0.001
MLP Regressor,8068.932326112068,,310.0,32.0,0.001
MLP Regressor,8479.107266038558,,170.0,32.0,0.001
MLP Regressor,8672.949009178483,,170.0,64.0,0.001
MLP Regressor,8679.03188005123,,170.0,64.0,0.001
XGBoost Regressor,4466.553943435535,1928.0,,,
XGBoost Regressor,4466.554639320615,1693.0,,,
XGBoost Regressor,4466.588017747411,1488.0,,,
XGBoost Regressor,4466.331806806027,1282.0,,,
XGBoost Regressor,4466.3831110318515,959.0,,,
Logistic Regressor,54501.4501958064,,50.0,64.0,0.0003
Logistic Regressor,69608.80021065605,,50.0,64.0,0.0003
Logistic Regressor,62374.01189022949,,60.0,64.0,0.0003
Logistic Regressor,92798.11052569504,,100.0,64.0,0.0003
Logistic Regressor,51714.206104991215,,100.0,64.0,0.001
Logistic Regressor,53984.772368962884,,180.0,64.0,0.001
Logistic Regressor,64440.638351850575,,180.0,64.0,0.0001
Logistic Regressor,67289.0505536775,,180.0,256.0,0.0001
Logistic Regressor,80940.07200569662,,180.0,256.0,0.0001
FNN Regressor,77324.53805267566,,270.0,32.0,0.001
XGBoost Regressor,4465.375607687688,806.0,,,
XGBoost Regressor,4457.9228106464625,413.0,,,
XGBoost Regressor,4465.07868521839,832.0,,,
XGBoost Regressor,4466.366122071321,1334.0,,,
XGBoost Regressor,4466.549923641743,1547.0,,,
XGBoost Regressor,4464.294916957801,714.0,,,
XGBoost Regressor,4463.054027891442,636.0,,,
XGBoost Regressor,4462.995698280833,637.0,,,
MLP Regressor,8714.456320354675,,170.0,64.0,0.001
MLP Regressor,8011.850551644011,,170.0,64.0,0.003
MLP Regressor,7901.081081933806,,170.0,64.0,0.003
MLP Regressor,7979.746798271185,,170.0,128.0,0.003
FNN Regressor,77322.42036910383,,300.0,32.0,0.001
MLP Regressor,7969.0174257246945,,170.0,32.0,0.003
LightGBM Regressor,3949.171401814809,1494.0,,,
LightGBM Regressor,3936.351756292054,1005.0,,,
