,model,score,std_dev,r2,num_boost_round,epochs,batch_size,lr
100,FNN Regressor,33201.7048449707,,,,360.0,16.0,0.003
101,FNN Regressor,17585.596171874997,,,,360.0,16.0,0.03
102,FNN Regressor,27276.386210937497,,,,210.0,16.0,0.03
103,FNN Regressor,27605.589335937497,,,,210.0,16.0,0.03
104,FNN Regressor,33351.49661113739,,,,210.0,16.0,0.001
105,XGBoost Regressor,2626.836406249997,,,1376.0,,,
106,XGBoost Regressor,2626.836406249997,,,1848.0,,,
107,FNN Regressor,33357.104702968594,,,,210.0,16.0,0.0001
108,FNN Regressor,33356.57442047119,,,,200.0,16.0,0.0001
109,LightGBM Regressor,7293.592265624997,,,1991.0,,,
110,LightGBM Regressor,7293.592265624997,,,1595.0,,,
111,Logistic Regressor,33357.251722354886,,,,400.0,256.0,0.0003
112,MLP Regressor,33020.50333740234,,,,470.0,64.0,0.0003
113,XGBoost Regressor,2626.836406249997,,,1843.0,,,
114,XGBoost Regressor,2626.836406249997,,,1097.0,,,
115,XGBoost Regressor,2626.836406249997,,,747.0,,,
116,XGBoost Regressor,2626.836406249997,,,1092.0,,,
117,LightGBM Regressor,7293.592265624997,,,1507.0,,,
118,FNN Regressor,33356.51027371406,,,,410.0,16.0,0.0001
119,FNN Regressor,33357.926968474385,,,,230.0,16.0,0.0001
120,FNN Regressor,33356.07700755119,,,,230.0,16.0,0.0001
121,FNN Regressor,33358.065725822446,,,,230.0,64.0,0.0001
122,FNN Regressor,33357.97148712396,,,,230.0,32.0,0.0001
123,FNN Regressor,33358.23949470043,,,,160.0,32.0,0.0001
124,FNN Regressor,33358.72726089179,,,,160.0,128.0,0.0001
125,FNN Regressor,33357.264169235226,,,,160.0,128.0,0.0001
126,FNN Regressor,33358.64237423658,,,,160.0,128.0,0.0001
127,FNN Regressor,33357.70058180809,,,,160.0,128.0,0.0003
128,MLP Regressor,19057.789531249997,,,,470.0,64.0,0.001
129,MLP Regressor,32995.8161730957,,,,470.0,64.0,0.0003
130,MLP Regressor,33076.19526245117,,,,470.0,32.0,0.0003
131,MLP Regressor,32891.738139648434,,,,490.0,32.0,0.0003
132,XGBoost Regressor,2626.836406249997,,,269.0,,,
133,XGBoost Regressor,2626.836406249997,,,130.0,,,
134,XGBoost Regressor,2626.867656249997,,,72.0,,,
135,XGBoost Regressor,2626.836406249997,,,938.0,,,
136,XGBoost Regressor,2626.836406249997,,,891.0,,,
137,XGBoost Regressor,2626.836406249997,,,363.0,,,
138,LightGBM Regressor,7293.592265624997,,,631.0,,,
139,LightGBM Regressor,7293.592265624997,,,833.0,,,
140,LightGBM Regressor,7293.592265624997,,,1542.0,,,
141,LightGBM Regressor,7293.592265624997,,,1208.0,,,
142,LightGBM Regressor,7293.592265624997,,,469.0,,,
143,LightGBM Regressor,7293.592265624997,,,296.0,,,
144,LightGBM Regressor,7293.592265624997,,,610.0,,,
145,LightGBM Regressor,7293.592265624997,,,824.0,,,
146,LightGBM Regressor,7293.592265624997,,,775.0,,,
147,LightGBM Regressor,7293.592265624997,,,1572.0,,,
148,LightGBM Regressor,7293.592265624997,,,1838.0,,,
149,LightGBM Regressor,7293.592265624997,,,1323.0,,,
150,Logistic Regressor,33358.42775981545,,,,400.0,256.0,0.0003
151,FNN Regressor,33357.70647778034,,,,160.0,256.0,0.0003
152,FNN Regressor,33334.469682235715,,,,160.0,256.0,0.003
153,FNN Regressor,33355.773795862195,,,,160.0,256.0,0.001
154,FNN Regressor,33353.58738042831,,,,160.0,128.0,0.001
