,n_neighbors,weights,leaf_size,RMSE,Std. Dev.,R-Squared
0,20,distance,10,864.5411885511687,35453.32253266199,0.9994053553795339
1,20,distance,10,864.5411885511687,35453.32253266199,0.9994053553795339
2,20,distance,10,864.5411885511687,35453.32253266199,0.9994053553795339
3,20,distance,10,864.5411885511687,35453.32253266199,0.9994053553795339
4,20,distance,10,864.5411885511687,35453.32253266199,0.9994053553795339
5,20,distance,10,864.5411885511687,35453.32253266199,0.9994053553795339
6,20,distance,10,864.5411885511687,35453.32253266199,0.9994053553795339
7,20,distance,10,864.5411885511687,35453.32253266199,0.9994053553795339
8,20,distance,10,864.5411885511687,35453.32253266199,0.9994053553795339
9,20,distance,10,864.5411885511687,35453.32253266199,0.9994053553795339
