,trees,max_depth,min_samples,feature_subset_size,RMSE,Std. Dev.,R_squared
0,70,20,10,9,4385.374551588178,28029.34917759681,0.9755213559942475
1,70,20,10,9,4408.096437660621,28029.34917759681,0.9752670370656037
2,70,20,10,9,4562.452245407665,28029.34917759681,0.9735045905173828
3,70,20,10,9,4298.7252110151685,28029.34917759681,0.9764791321881935
4,70,20,10,9,4335.559174568774,28029.34917759681,0.9760743244785369
5,70,20,10,9,4237.911285341492,28029.34917759681,0.9771399227026675
6,70,20,10,9,4335.297104931497,28029.34917759681,0.976077216840674
7,70,20,10,9,4307.552144238814,28029.34917759681,0.9763824382716612
8,70,20,10,9,4347.682056378913,28029.34917759681,0.9759403377726951
9,70,20,10,9,4399.897987927131,28029.34917759681,0.9753589512931384
