model,score,num_boost_round,epochs,batch_size,lr
XGBoost Regressor,3426.602662100744,692.0,,,
XGBoost Regressor,3426.537610421308,349.0,,,
XGBoost Regressor,3426.6033862984464,838.0,,,
XGBoost Regressor,3426.6033862984464,1002.0,,,
XGBoost Regressor,3426.6033862984464,1717.0,,,
XGBoost Regressor,3426.6033862984464,1644.0,,,
MLP Regressor,50296.99805137233,,400.0,64.0,0.0003
MLP Regressor,50312.94938133621,,300.0,64.0,0.0003
MLP Regressor,50451.16031429875,,100.0,64.0,0.0003
MLP Regressor,50463.807910168405,,100.0,256.0,0.0003
MLP Regressor,50485.1274293767,,100.0,256.0,0.0001
MLP Regressor,50482.797805813185,,100.0,256.0,0.0001
MLP Regressor,50321.08946471018,,100.0,256.0,0.001
MLP Regressor,50315.138427737504,,100.0,128.0,0.001
MLP Regressor,50155.282619135294,,260.0,128.0,0.001
MLP Regressor,50158.626970568796,,260.0,256.0,0.001
MLP Regressor,50118.46742739054,,260.0,256.0,0.003
MLP Regressor,50137.47820235489,,140.0,256.0,0.003
MLP Regressor,50133.90752641799,,220.0,256.0,0.003
MLP Regressor,50136.26224526917,,160.0,256.0,0.003
XGBoost Regressor,3426.6033862984464,939.0,,,
XGBoost Regressor,3426.5257498384376,343.0,,,
XGBoost Regressor,3426.6033834734126,767.0,,,
XGBoost Regressor,3426.166965583123,214.0,,,
XGBoost Regressor,3425.8380677084965,165.0,,,
XGBoost Regressor,3426.6033862984464,1017.0,,,
MLP Regressor,50402.214024775305,,160.0,256.0,0.0003
MLP Regressor,50135.96782933419,,160.0,256.0,0.003
MLP Regressor,50075.153170443955,,330.0,256.0,0.003
MLP Regressor,50137.913234424756,,190.0,256.0,0.003
MLP Regressor,50127.04380983543,,280.0,256.0,0.003
XGBoost Regressor,3426.6033862984464,1786.0,,,
FNN Regressor,50490.54393369761,,140.0,256.0,0.001
FNN Regressor,50487.401200645305,,170.0,256.0,0.001
FNN Regressor,50489.7993858833,,170.0,256.0,0.001
FNN Regressor,50482.77899828685,,240.0,256.0,0.001
FNN Regressor,50297.77515404421,,240.0,256.0,0.03
FNN Regressor,49584.67909618829,,240.0,128.0,0.03
FNN Regressor,49283.199684232444,,240.0,64.0,0.03
FNN Regressor,50337.10672596425,,170.0,64.0,0.03
FNN Regressor,50444.21497716833,,60.0,64.0,0.03
FNN Regressor,50380.4432774658,,60.0,64.0,0.03
FNN Regressor,48476.39892430993,,240.0,64.0,0.03
MLP Regressor,50135.279004143486,,280.0,256.0,0.001
MLP Regressor,50134.24620188583,,280.0,256.0,0.001
LightGBM Regressor,14054.338744177583,1073.0,,,
LightGBM Regressor,28030.82423470697,330.0,,,
LightGBM Regressor,21626.815481962418,539.0,,,
LightGBM Regressor,17320.353711945674,759.0,,,
XGBoost Regressor,3426.6033862984464,1504.0,,,
XGBoost Regressor,3426.6033862984464,1887.0,,,
XGBoost Regressor,3426.6033862984464,1369.0,,,
XGBoost Regressor,3426.5930551735846,592.0,,,
XGBoost Regressor,3426.6033862984464,1009.0,,,
LightGBM Regressor,11207.117035957737,1511.0,,,
XGBoost Regressor,3426.6033862984464,1565.0,,,
XGBoost Regressor,3426.6033862984464,1286.0,,,
Logistic Regressor,50473.47859431386,,290.0,32.0,0.001
Logistic Regressor,50403.08077643175,,290.0,32.0,0.01
Logistic Regressor,50457.15481665751,,110.0,32.0,0.01
FNN Regressor,50146.75872961468,,240.0,16.0,0.03
FNN Regressor,49744.73766493691,,210.0,16.0,0.03
FNN Regressor,50484.81207002211,,210.0,16.0,0.001
FNN Regressor,50485.87989136446,,210.0,32.0,0.001
FNN Regressor,50485.61634933385,,210.0,32.0,0.001
FNN Regressor,50490.30235476842,,140.0,32.0,0.001
FNN Regressor,50491.66498828598,,50.0,32.0,0.001
Logistic Regressor,50459.709466148066,,110.0,64.0,0.01
Logistic Regressor,50421.87627978515,,220.0,64.0,0.01
LightGBM Regressor,12129.829147153416,1350.0,,,
Logistic Regressor,50458.24466982053,,220.0,64.0,0.003
Logistic Regressor,50476.1114120465,,220.0,64.0,0.003
Logistic Regressor,50477.4563899058,,220.0,64.0,0.001
Logistic Regressor,50488.58318729683,,220.0,32.0,0.001
Logistic Regressor,50476.0310539385,,340.0,32.0,0.001
Logistic Regressor,50470.029815539834,,420.0,32.0,0.001
Logistic Regressor,50477.929498667254,,420.0,64.0,0.001
Logistic Regressor,50476.94062368584,,430.0,64.0,0.001
Logistic Regressor,50469.32110787745,,430.0,16.0,0.001
Logistic Regressor,50475.66996485077,,430.0,16.0,0.001
Logistic Regressor,50485.85176112218,,430.0,16.0,0.0003
FNN Regressor,50482.321814543415,,50.0,32.0,0.01
FNN Regressor,49871.83025676435,,270.0,32.0,0.01
FNN Regressor,50427.47926218921,,270.0,32.0,0.003
FNN Regressor,50448.08204714458,,270.0,64.0,0.003
FNN Regressor,50466.44483509864,,410.0,64.0,0.003
FNN Regressor,50456.69237565175,,410.0,64.0,0.003
FNN Regressor,50472.92235040698,,410.0,256.0,0.003
FNN Regressor,50451.75643144719,,410.0,128.0,0.003
FNN Regressor,50453.82455054658,,400.0,128.0,0.003
FNN Regressor,50446.68430645837,,490.0,128.0,0.003
FNN Regressor,50435.78535647692,,490.0,128.0,0.03
FNN Regressor,50246.5280685147,,280.0,128.0,0.03
FNN Regressor,49875.638067124106,,280.0,32.0,0.03
FNN Regressor,50482.87437361587,,280.0,32.0,0.001
FNN Regressor,50485.23408810817,,240.0,32.0,0.001
FNN Regressor,50483.61473852479,,290.0,32.0,0.001
FNN Regressor,50481.83354751992,,290.0,16.0,0.001
FNN Regressor,50480.74405486961,,260.0,16.0,0.001
FNN Regressor,50482.69386477479,,260.0,16.0,0.001
MLP Regressor,50156.06953535636,,280.0,128.0,0.001
MLP Regressor,50135.473222745844,,280.0,32.0,0.001
FNN Regressor,50121.682186842,,260.0,16.0,0.01
MLP Regressor,50245.2583136969,,160.0,32.0,0.001
MLP Regressor,50244.64907578159,,160.0,32.0,0.001
MLP Regressor,50134.916672366366,,160.0,32.0,0.003
MLP Regressor,50130.26623583322,,200.0,32.0,0.003
MLP Regressor,50118.80476746928,,200.0,64.0,0.003
MLP Regressor,50211.848124351505,,200.0,64.0,0.001
MLP Regressor,50167.4976273408,,200.0,32.0,0.001
MLP Regressor,50187.950315844064,,200.0,32.0,0.001
MLP Regressor,50128.62974186032,,200.0,32.0,0.003
LightGBM Regressor,14600.500908084403,1024.0,,,
LightGBM Regressor,35402.179932150575,186.0,,,
LightGBM Regressor,30186.399607057865,277.0,,,
LightGBM Regressor,29942.477097688763,281.0,,,
LightGBM Regressor,15719.432692998485,871.0,,,
LightGBM Regressor,26540.69678005683,370.0,,,
LightGBM Regressor,23854.153939681793,451.0,,,
LightGBM Regressor,13736.673482684098,1110.0,,,
LightGBM Regressor,13736.673482684098,1110.0,,,
LightGBM Regressor,12922.652260729878,1235.0,,,
LightGBM Regressor,11032.445100836789,1552.0,,,
LightGBM Regressor,10985.571268959991,1560.0,,,
MLP Regressor,50092.924735528344,,360.0,32.0,0.003
MLP Regressor,50049.154037242704,,410.0,32.0,0.003
MLP Regressor,50116.385940508735,,300.0,32.0,0.003
MLP Regressor,50117.65056637494,,300.0,32.0,0.003
MLP Regressor,50113.449110158865,,350.0,32.0,0.003
MLP Regressor,50108.97364109962,,350.0,32.0,0.003
MLP Regressor,49999.590341797906,,350.0,128.0,0.003
Logistic Regressor,50492.769870137214,,380.0,16.0,0.0003
Logistic Regressor,50477.429652230036,,380.0,16.0,0.0003
Logistic Regressor,50473.8696133462,,380.0,16.0,0.001
Logistic Regressor,50475.305324987814,,380.0,16.0,0.001
Logistic Regressor,50480.9754637363,,380.0,64.0,0.001
XGBoost Regressor,3426.524143327135,317.0,,,
XGBoost Regressor,3426.6033862984464,881.0,,,
XGBoost Regressor,3426.6033862984464,1549.0,,,
XGBoost Regressor,3426.6033862984464,1994.0,,,
MLP Regressor,50135.92966909323,,350.0,128.0,0.001
MLP Regressor,50129.38885565529,,370.0,128.0,0.001
MLP Regressor,50084.334738409,,370.0,128.0,0.003
MLP Regressor,50120.38087431267,,370.0,64.0,0.003
MLP Regressor,50304.43613897785,,370.0,64.0,0.0003
MLP Regressor,50057.44552614007,,370.0,64.0,0.003
MLP Regressor,50135.83827451063,,370.0,64.0,0.001
LightGBM Regressor,12301.523649276593,1323.0,,,
LightGBM Regressor,21960.823895047728,522.0,,,
LightGBM Regressor,11423.051761456629,1470.0,,,
LightGBM Regressor,10510.008717895122,1725.0,,,
LightGBM Regressor,12904.857330223358,1240.0,,,
LightGBM Regressor,11536.499604023462,1452.0,,,
LightGBM Regressor,10596.101003890673,1689.0,,,
MLP Regressor,50131.75735995798,,370.0,128.0,0.001
MLP Regressor,50142.98804414808,,240.0,128.0,0.001
MLP Regressor,50375.45731266742,,240.0,128.0,0.0003
MLP Regressor,50156.43622244346,,240.0,128.0,0.001
MLP Regressor,50132.291664526856,,410.0,128.0,0.001
MLP Regressor,50125.22012451471,,410.0,64.0,0.001
MLP Regressor,50212.86674713811,,200.0,64.0,0.001
MLP Regressor,50472.571028041784,,200.0,64.0,0.0001
MLP Regressor,50473.38579748024,,180.0,64.0,0.0001
MLP Regressor,50472.61968392129,,180.0,64.0,0.0001
LightGBM Regressor,13094.190025428763,1183.0,,,
LightGBM Regressor,10064.238634041085,1909.0,,,
LightGBM Regressor,10163.890584595916,1876.0,,,
LightGBM Regressor,11145.848348433161,1525.0,,,
XGBoost Regressor,3426.6033862984464,1085.0,,,
XGBoost Regressor,3426.5895702462117,404.0,,,
XGBoost Regressor,3426.6033862984464,1345.0,,,
XGBoost Regressor,3426.6033862984464,880.0,,,
XGBoost Regressor,3426.6033862984464,1733.0,,,
XGBoost Regressor,3426.6033862984464,997.0,,,
LightGBM Regressor,9997.0896705826,1944.0,,,
LightGBM Regressor,13486.877433674728,1138.0,,,
LightGBM Regressor,10424.69702461151,1750.0,,,
LightGBM Regressor,10710.741615992356,1640.0,,,
LightGBM Regressor,10855.450372404606,1590.0,,,
LightGBM Regressor,10111.574180152524,1892.0,,,
LightGBM Regressor,12451.473916097431,1299.0,,,
LightGBM Regressor,9929.539688324654,1991.0,,,
LightGBM Regressor,14453.188677827155,1039.0,,,
LightGBM Regressor,18523.488540583523,689.0,,,
LightGBM Regressor,30868.54290787114,265.0,,,
Logistic Regressor,50390.80258777738,,380.0,64.0,0.01
Logistic Regressor,50412.03637581891,,260.0,64.0,0.01
Logistic Regressor,50376.534969584995,,430.0,64.0,0.01
Logistic Regressor,50484.14183984032,,430.0,64.0,0.001
MLP Regressor,50474.628427588184,,180.0,64.0,0.0001
MLP Regressor,50474.37939027458,,180.0,128.0,0.0001
MLP Regressor,50476.9405594848,,180.0,64.0,0.0001
MLP Regressor,50470.83022935939,,180.0,256.0,0.0001
MLP Regressor,50473.52795069069,,180.0,256.0,0.0001
MLP Regressor,50474.36038164936,,180.0,256.0,0.0001
LightGBM Regressor,30437.651903930095,273.0,,,
LightGBM Regressor,13638.388992210608,1122.0,,,
LightGBM Regressor,22907.05237325422,494.0,,,
LightGBM Regressor,11733.358354180791,1414.0,,,
LightGBM Regressor,12920.535285557151,1238.0,,,
LightGBM Regressor,13423.956246061483,1144.0,,,
LightGBM Regressor,10736.527369126803,1632.0,,,
LightGBM Regressor,14672.244839263878,1015.0,,,
LightGBM Regressor,15114.955749202396,947.0,,,
MLP Regressor,50485.23072877717,,100.0,256.0,0.0001
MLP Regressor,50486.528881688704,,100.0,256.0,0.0001
MLP Regressor,50482.63293468732,,100.0,256.0,0.0001
MLP Regressor,50474.65036966675,,160.0,256.0,0.0001
MLP Regressor,50480.94737596295,,160.0,128.0,0.0001
MLP Regressor,50412.50766301729,,160.0,128.0,0.0003
MLP Regressor,50403.4486194323,,160.0,128.0,0.0003
MLP Regressor,50303.06621263251,,370.0,128.0,0.0003
MLP Regressor,50254.8206675834,,450.0,128.0,0.0003
MLP Regressor,50240.563810443986,,450.0,128.0,0.0003
MLP Regressor,50263.48120242412,,390.0,128.0,0.0003
MLP Regressor,50258.643234095,,430.0,128.0,0.0003
MLP Regressor,50132.24810845745,,430.0,128.0,0.001
MLP Regressor,50120.851977989245,,480.0,128.0,0.001
MLP Regressor,50121.28096298437,,480.0,128.0,0.001
MLP Regressor,50126.9387973948,,480.0,128.0,0.001
MLP Regressor,50411.18588717558,,480.0,128.0,0.0001
MLP Regressor,50460.9704139948,,260.0,128.0,0.0001
