model,score,epochs,batch_size,lr,num_boost_round
XGBoost Regressor,0.43134661293825377,,,,1349.0
XGBoost Regressor,0.43134661293825377,,,,1688.0
XGBoost Regressor,0.43134661293825377,,,,1143.0
XGBoost Regressor,0.43134661293825377,,,,1282.0
XGBoost Regressor,0.43134661293825377,,,,1747.0
XGBoost Regressor,0.43134661293825377,,,,1054.0
MLP Regressor,5.593728021238537,70.0,32.0,0.0003,
MLP Regressor,8.523942788910563,70.0,64.0,0.0003,
MLP Regressor,4.691246828349092,70.0,64.0,0.0003,
MLP Regressor,7.407974980336084,110.0,64.0,0.0003,
MLP Regressor,4.750366286894777,180.0,64.0,0.0003,
MLP Regressor,3.3351593283224776,380.0,64.0,0.0003,
MLP Regressor,3.955880575669011,380.0,128.0,0.0003,
MLP Regressor,4.215394247594789,230.0,128.0,0.0003,
MLP Regressor,4.208736968521417,350.0,128.0,0.0003,
XGBoost Regressor,0.43134661293825377,,,,909.0
XGBoost Regressor,0.43134661293825377,,,,1851.0
XGBoost Regressor,0.43134661293825377,,,,1038.0
XGBoost Regressor,0.431346612635527,,,,294.0
XGBoost Regressor,0.43134661293825377,,,,680.0
XGBoost Regressor,0.43134661293825377,,,,1058.0
XGBoost Regressor,0.43134661293825377,,,,1976.0
XGBoost Regressor,0.43134661293825377,,,,1651.0
MLP Regressor,4.3876341102599,300.0,128.0,0.0003,
MLP Regressor,7.284867589145219,120.0,128.0,0.0003,
XGBoost Regressor,0.43134661293825377,,,,1109.0
XGBoost Regressor,0.43134661293825377,,,,1375.0
XGBoost Regressor,0.43134661293825377,,,,1658.0
FNN Regressor,14.898243912369335,190.0,32.0,0.001,
MLP Regressor,4.599366242109758,150.0,128.0,0.0003,
MLP Regressor,4.443904847452903,150.0,128.0,0.0003,
MLP Regressor,4.110592370257301,320.0,128.0,0.0003,
MLP Regressor,3.8888474678338216,320.0,128.0,0.0003,
MLP Regressor,4.077131011286441,480.0,128.0,0.0003,
MLP Regressor,3.990587831339559,480.0,256.0,0.0003,
MLP Regressor,4.0254937037719,320.0,256.0,0.0003,
Logistic Regressor,6.361023324960937,370.0,256.0,0.003,
Logistic Regressor,35.284709287217716,370.0,256.0,0.001,
Logistic Regressor,22.21777658558786,370.0,128.0,0.001,
XGBoost Regressor,0.43134661293825377,,,,918.0
XGBoost Regressor,0.43134661293825377,,,,1177.0
LightGBM Regressor,0.4625904835043056,,,,1326.0
LightGBM Regressor,0.46412023435827526,,,,1103.0
LightGBM Regressor,0.4616328228192739,,,,1479.0
LightGBM Regressor,0.46360576140996784,,,,1218.0
LightGBM Regressor,0.4625578148016033,,,,1331.0
FNN Regressor,0.6484634515683256,190.0,32.0,0.03,
FNN Regressor,0.5928587365592319,190.0,32.0,0.03,
FNN Regressor,0.6522876237134169,190.0,32.0,0.01,
FNN Regressor,0.5886143836132213,190.0,32.0,0.01,
FNN Regressor,1.22875156814313,140.0,32.0,0.01,
Logistic Regressor,31.307222828121635,290.0,128.0,0.001,
Logistic Regressor,26.532588927608273,290.0,128.0,0.001,
Logistic Regressor,31.822575973495905,290.0,64.0,0.001,
MLP Regressor,2.6789127478407244,430.0,256.0,0.0003,
LightGBM Regressor,0.46220045870893667,,,,1364.0
MLP Regressor,4.698598339244491,430.0,64.0,0.0003,
MLP Regressor,4.280573939744753,320.0,64.0,0.0003,
MLP Regressor,4.682445982872137,320.0,64.0,0.0003,
XGBoost Regressor,0.4313466125313884,,,,281.0
MLP Regressor,4.272424596913004,290.0,64.0,0.0003,
MLP Regressor,5.559570362945326,290.0,64.0,0.0001,
MLP Regressor,4.417683801152446,290.0,128.0,0.0001,
MLP Regressor,6.094263694771772,290.0,128.0,0.0001,
MLP Regressor,4.455039947749884,290.0,128.0,0.0001,
MLP Regressor,3.9824271070749537,290.0,128.0,0.0003,
MLP Regressor,4.226176119059598,290.0,128.0,0.0001,
MLP Regressor,4.901650319710578,290.0,64.0,0.0001,
MLP Regressor,8.041856429544929,110.0,64.0,0.0001,
MLP Regressor,4.895291803806727,110.0,128.0,0.0001,
MLP Regressor,8.372780445931605,110.0,64.0,0.0001,
MLP Regressor,9.476972389463109,110.0,64.0,0.0001,
MLP Regressor,4.6758570174898075,190.0,64.0,0.0001,
MLP Regressor,4.440838731630383,190.0,64.0,0.0003,
MLP Regressor,4.485567815935835,150.0,64.0,0.0003,
MLP Regressor,6.169284441971065,150.0,64.0,0.0001,
MLP Regressor,4.5177218584335,230.0,64.0,0.0001,
MLP Regressor,4.588781967665146,230.0,64.0,0.0001,
Logistic Regressor,6.696806411034118,370.0,64.0,0.001,
LightGBM Regressor,0.4632370847495575,,,,1244.0
MLP Regressor,6.840288137031913,230.0,64.0,0.0001,
MLP Regressor,4.680499734679627,230.0,64.0,0.0001,
LightGBM Regressor,0.5010523452491488,,,,634.0
LightGBM Regressor,0.46296815170398414,,,,1280.0
Logistic Regressor,27.021889455568445,300.0,64.0,0.001,
Logistic Regressor,45.32608971481316,130.0,64.0,0.001,
Logistic Regressor,60.05498794898301,130.0,64.0,0.0001,
Logistic Regressor,214.11624487894892,320.0,64.0,0.0001,
Logistic Regressor,211.8168753411209,320.0,64.0,0.0001,
MLP Regressor,4.28015748939596,230.0,64.0,0.0003,
MLP Regressor,3.9159791447129706,420.0,64.0,0.0003,
MLP Regressor,2.46446505030013,420.0,64.0,0.003,
MLP Regressor,3.9112621218156156,420.0,64.0,0.001,
MLP Regressor,3.3880008474731267,280.0,64.0,0.001,
MLP Regressor,4.173519011299814,280.0,64.0,0.0003,
MLP Regressor,3.88756082250433,280.0,64.0,0.001,
MLP Regressor,4.146192295803419,280.0,32.0,0.001,
MLP Regressor,4.322796982411793,270.0,32.0,0.001,
Logistic Regressor,112.45662325687958,320.0,64.0,0.0001,
MLP Regressor,4.137875914755577,330.0,32.0,0.001,
MLP Regressor,4.204849574891338,330.0,64.0,0.001,
LightGBM Regressor,0.46160885943564245,,,,1752.0
LightGBM Regressor,0.46289305981879714,,,,1261.0
MLP Regressor,4.115932436130441,330.0,32.0,0.001,
MLP Regressor,4.422971277518724,120.0,32.0,0.001,
MLP Regressor,4.002162309131149,120.0,32.0,0.001,
MLP Regressor,4.252793777486675,150.0,32.0,0.001,
MLP Regressor,4.070120192704447,190.0,32.0,0.001,
MLP Regressor,4.143359236560321,330.0,32.0,0.001,
MLP Regressor,4.268555738539337,330.0,128.0,0.001,
MLP Regressor,4.081904246934265,330.0,128.0,0.0003,
LightGBM Regressor,0.4640200213300389,,,,1160.0
LightGBM Regressor,0.46658110809681835,,,,1017.0
XGBoost Regressor,0.43099610902370084,,,,225.0
XGBoost Regressor,0.43134661293825377,,,,445.0
FNN Regressor,5.621239773418404,50.0,32.0,0.01,
FNN Regressor,2.6676364141544417,50.0,64.0,0.01,
FNN Regressor,15.97011679578849,50.0,64.0,0.003,
FNN Regressor,13.905129659187352,60.0,64.0,0.003,
XGBoost Regressor,0.43134661293825377,,,,1299.0
XGBoost Regressor,0.43134661293825377,,,,1408.0
XGBoost Regressor,0.43134661293825377,,,,862.0
MLP Regressor,3.4010472576174617,330.0,128.0,0.001,
Logistic Regressor,15.944770196775062,320.0,64.0,0.001,
Logistic Regressor,42.98563268535754,320.0,64.0,0.001,
Logistic Regressor,57.38950822766303,320.0,16.0,0.001,
Logistic Regressor,28.1343145854815,320.0,16.0,0.0003,
LightGBM Regressor,0.47681861579918805,,,,839.0
LightGBM Regressor,0.4630617054158355,,,,1284.0
LightGBM Regressor,0.5165738173092316,,,,550.0
LightGBM Regressor,0.8210762253231917,,,,58.0
LightGBM Regressor,0.4802884388510015,,,,805.0
LightGBM Regressor,0.7675011232422111,,,,82.0
FNN Regressor,14.844854838031516,60.0,128.0,0.003,
FNN Regressor,4.852837533885449,150.0,128.0,0.003,
XGBoost Regressor,0.43134661293825377,,,,1100.0
XGBoost Regressor,0.43134661293825377,,,,1874.0
MLP Regressor,2.9111362102628506,330.0,128.0,0.003,
FNN Regressor,0.6566835984879871,300.0,128.0,0.003,
LightGBM Regressor,0.4810006283695221,,,,790.0
FNN Regressor,0.6659288185074351,280.0,128.0,0.003,
MLP Regressor,3.8975247991278024,200.0,128.0,0.003,
MLP Regressor,3.8664886319406886,200.0,128.0,0.003,
MLP Regressor,4.10653203588442,150.0,128.0,0.003,
MLP Regressor,4.332468281006391,150.0,32.0,0.003,
MLP Regressor,4.023204841109395,150.0,32.0,0.003,
MLP Regressor,4.145652921709172,150.0,32.0,0.003,
MLP Regressor,4.453009724076694,150.0,32.0,0.001,
MLP Regressor,3.646101081212786,280.0,32.0,0.001,
XGBoost Regressor,0.43134661293825377,,,,1417.0
XGBoost Regressor,0.43134661293825377,,,,1486.0
XGBoost Regressor,0.43134661293825377,,,,1902.0
Logistic Regressor,24.52819151087025,320.0,16.0,0.001,
Logistic Regressor,13.308540075026952,320.0,16.0,0.003,
Logistic Regressor,8.770002596367274,320.0,16.0,0.01,
Logistic Regressor,4.34889421693836,320.0,16.0,0.01,
MLP Regressor,3.5250134293970365,280.0,64.0,0.001,
MLP Regressor,2.614920755392551,340.0,64.0,0.001,
MLP Regressor,2.263891523368567,470.0,64.0,0.001,
MLP Regressor,3.2013073740739117,470.0,64.0,0.001,
MLP Regressor,2.3093101423832,470.0,64.0,0.001,
MLP Regressor,3.0601347698955363,470.0,64.0,0.0003,
MLP Regressor,3.791935186642821,450.0,64.0,0.0003,
MLP Regressor,2.755859478220205,450.0,256.0,0.0003,
MLP Regressor,4.218481444137544,450.0,256.0,0.0003,
MLP Regressor,3.5201657073447152,440.0,256.0,0.0003,
MLP Regressor,3.967643690554429,440.0,256.0,0.0003,
MLP Regressor,4.90265505996364,440.0,256.0,0.0001,
MLP Regressor,3.4184418382804496,440.0,256.0,0.0003,
MLP Regressor,3.086712412703529,440.0,128.0,0.0003,
FNN Regressor,0.6170303477043624,420.0,128.0,0.003,
FNN Regressor,0.6283641486237025,420.0,32.0,0.003,
FNN Regressor,4.380517216758801,420.0,32.0,0.001,
FNN Regressor,11.48800662495273,230.0,32.0,0.001,
FNN Regressor,22.60952111779984,230.0,32.0,0.0001,
FNN Regressor,20.950741247880362,230.0,32.0,0.0003,
FNN Regressor,20.4931032930603,230.0,64.0,0.0003,
FNN Regressor,0.8382411348916493,230.0,64.0,0.003,
FNN Regressor,1.0027846034620695,230.0,32.0,0.003,
FNN Regressor,22.17409805414625,230.0,32.0,0.0001,
FNN Regressor,21.6216147632641,420.0,32.0,0.0001,
FNN Regressor,22.55536427482778,420.0,32.0,0.0001,
FNN Regressor,21.84552229240744,420.0,32.0,0.0001,
FNN Regressor,4.889799070301271,420.0,32.0,0.001,
FNN Regressor,5.453733768168896,360.0,32.0,0.001,
FNN Regressor,6.053382414529121,360.0,128.0,0.001,
FNN Regressor,5.055273129250219,360.0,128.0,0.001,
FNN Regressor,16.6513300539335,150.0,128.0,0.001,
LightGBM Regressor,0.46166285797519097,,,,1618.0
LightGBM Regressor,0.46154277710892033,,,,1429.0
LightGBM Regressor,0.4616521901928095,,,,1885.0
LightGBM Regressor,0.4614010992952447,,,,1689.0
LightGBM Regressor,0.4618594277961965,,,,1413.0
LightGBM Regressor,0.46187758730658945,,,,1418.0
LightGBM Regressor,0.5211352041884876,,,,529.0
LightGBM Regressor,0.481778374330882,,,,784.0
LightGBM Regressor,0.7482269149935296,,,,98.0
FNN Regressor,15.373262481760898,150.0,64.0,0.001,
FNN Regressor,22.411094683621435,150.0,64.0,0.0001,
FNN Regressor,22.92962856012677,150.0,256.0,0.0001,
FNN Regressor,23.659387587815562,50.0,256.0,0.0001,
FNN Regressor,23.309123729793434,50.0,256.0,0.0001,
FNN Regressor,22.816219232149074,160.0,256.0,0.0001,
FNN Regressor,22.700851240083157,160.0,256.0,0.0001,
FNN Regressor,23.341416294835795,160.0,64.0,0.0001,
FNN Regressor,22.34273760766668,230.0,64.0,0.0001,
FNN Regressor,1.4893140213791216,230.0,64.0,0.003,
Logistic Regressor,4.097162471714407,320.0,16.0,0.01,
Logistic Regressor,7.42579975883723,320.0,64.0,0.01,
Logistic Regressor,5.12330313829496,320.0,64.0,0.01,
Logistic Regressor,4.456305730182305,320.0,64.0,0.01,
LightGBM Regressor,0.5862473589955259,,,,319.0
LightGBM Regressor,0.6917708040851053,,,,158.0
LightGBM Regressor,0.4904582046184754,,,,708.0
LightGBM Regressor,0.46578454329790997,,,,1046.0
FNN Regressor,1.1618824332466058,230.0,64.0,0.003,
FNN Regressor,1.3890655672427754,230.0,32.0,0.003,
FNN Regressor,0.6860278051770509,450.0,32.0,0.003,
FNN Regressor,0.6903614144041326,230.0,32.0,0.003,
FNN Regressor,0.7758962684445112,230.0,32.0,0.01,
FNN Regressor,0.6512816282247212,450.0,32.0,0.01,
FNN Regressor,0.5684461523845816,350.0,32.0,0.01,
FNN Regressor,0.6127871832630402,410.0,32.0,0.01,
FNN Regressor,0.664047512816551,410.0,128.0,0.01,
FNN Regressor,0.654943488498452,410.0,128.0,0.01,
FNN Regressor,0.5946504434953642,470.0,128.0,0.01,
FNN Regressor,17.778319318627343,470.0,128.0,0.0003,
FNN Regressor,19.340307751323937,250.0,128.0,0.0003,
FNN Regressor,0.6149095319269018,250.0,128.0,0.01,
XGBoost Regressor,0.43134661293825377,,,,1686.0
XGBoost Regressor,0.43134661293825377,,,,1856.0
XGBoost Regressor,0.43134661293825377,,,,1458.0
XGBoost Regressor,0.43134661293825377,,,,1692.0
XGBoost Regressor,0.43134661293825377,,,,1714.0
XGBoost Regressor,0.43134661293825377,,,,1298.0
FNN Regressor,0.6260948362197514,250.0,64.0,0.01,
LightGBM Regressor,0.4714084892449112,,,,927.0
LightGBM Regressor,0.4876677551148073,,,,732.0
