model,score,num_boost_round,epochs,batch_size,lr
MLP Regressor,24276.378207057518,,170.0,256.0,0.0003
MLP Regressor,14902.570781832794,,170.0,256.0,0.003
MLP Regressor,15266.115738932918,,170.0,64.0,0.003
Logistic Regressor,24291.735627872982,,450.0,128.0,0.003
Logistic Regressor,24291.26001382721,,450.0,128.0,0.003
Logistic Regressor,24292.61529490317,,330.0,128.0,0.003
Logistic Regressor,24292.540721274334,,330.0,128.0,0.003
LightGBM Regressor,1815.5697116555816,642.0,,,
LightGBM Regressor,1827.2379967440602,805.0,,,
XGBoost Regressor,1714.0863448898851,1084.0,,,
XGBoost Regressor,1714.0878625081389,1368.0,,,
LightGBM Regressor,1854.9085821147746,1457.0,,,
LightGBM Regressor,1819.4748899731849,682.0,,,
LightGBM Regressor,1854.2264250225664,1402.0,,,
LightGBM Regressor,1860.7208850655072,1947.0,,,
LightGBM Regressor,1846.1947588269177,1107.0,,,
LightGBM Regressor,1843.662650394345,1060.0,,,
FNN Regressor,24279.337777743134,,200.0,16.0,0.001
FNN Regressor,24291.356884197583,,80.0,16.0,0.001
FNN Regressor,24276.972154292678,,250.0,16.0,0.001
FNN Regressor,24275.659662457452,,250.0,32.0,0.001
LightGBM Regressor,1916.657678233164,167.0,,,
Logistic Regressor,24294.4916253653,,130.0,128.0,0.003
Logistic Regressor,24294.735828312256,,130.0,128.0,0.003
MLP Regressor,23856.28429957132,,170.0,64.0,0.001
MLP Regressor,14959.252316300184,,170.0,64.0,0.003
MLP Regressor,16825.356235849824,,170.0,64.0,0.003
MLP Regressor,15697.09722320807,,170.0,64.0,0.003
MLP Regressor,15871.57010804022,,170.0,128.0,0.003
MLP Regressor,13218.161309837908,,170.0,64.0,0.003
Logistic Regressor,24295.144361397353,,70.0,128.0,0.003
Logistic Regressor,24293.409951646394,,280.0,128.0,0.003
LightGBM Regressor,1832.6416935182788,893.0,,,
LightGBM Regressor,1853.7784535228254,1385.0,,,
LightGBM Regressor,1835.5153220945695,924.0,,,
XGBoost Regressor,1714.0844588430432,733.0,,,
XGBoost Regressor,1714.0858712068741,416.0,,,
XGBoost Regressor,1714.084762360952,796.0,,,
XGBoost Regressor,1714.0831101793397,618.0,,,
XGBoost Regressor,1714.0525555935408,371.0,,,
XGBoost Regressor,1714.083290948974,593.0,,,
LightGBM Regressor,1780.2056837297503,339.0,,,
LightGBM Regressor,1849.1055981144398,1155.0,,,
MLP Regressor,24277.873604251075,,170.0,64.0,0.0003
MLP Regressor,23900.189450474394,,170.0,64.0,0.001
MLP Regressor,24186.649631086217,,120.0,64.0,0.001
MLP Regressor,24150.743317608085,,120.0,256.0,0.001
FNN Regressor,22954.172924521612,,250.0,32.0,0.01
FNN Regressor,20868.680073255277,,400.0,32.0,0.01
FNN Regressor,20829.071129840944,,400.0,16.0,0.01
